AccountNumber,MasterCustomerDetailsFlag,PrimaryAccountHolderFlag,Title,FirstName,MiddleInitial,LastName,NameSuffix,BusinessName,StreetAddress1,StreetAddress2,StreetAddress3,City,State,ZipCodePre,ZipCodeSuffix,DateOfBirth,DeathDate,PhoneNumber,EmailAddress,SSN,CommunicationPreference,Income,EmployerName,EmploymentDate,MemberStartDate,RelationshipCode,RaddonSegment,County,Region,Branch,CheckingFlag,CDFlag,MoneyMarketFlag,AutoLoanFlag,CreditCardFlag,PLFlag,HELOCFlag,HomeEquityLoanFlag,FirstMortgageFlag,StudentLoanFlag,OnlineBankingFlag,BillPayFlag,DebitCardFlag,NegShareWarning,BankruptcyWarning,DQWarning,BadAddressWarning,BadEmailWarning,ExcessiveFeesWarning,CreditScore1,CreditScoreDate1,CreditScore2,CreditScoreDate2,CreditScore3,CreditScoreDate3,CreditScore4,CreditScoreDate4,ProductAccountNumber,ProductType,Description,MonthlyPayment,DateOpened,Rate,TermType,TermInMonths,OriginalBalance,CurrentBalance,CCLimit,FlexFlag1,FlexFlag2,FlexFlag3,FlexFlag4,FlexFlag5,FlexFlag6,FlexFlag7,FlexFlag8,FlexFlag9,FlexFlag10,FlexChar1,FlexChar2,FlexChar3,FlexChar4,FlexNum1,FlexNum2,FlexNum3,FlexNum4,FlexDate1,FlexDate2,FlexDate3,FlexDate4,FlexMoney1,FlexMoney2,FlexMoney3,FlexMoney4,FlexRate1,FlexRate2,FlexRate3,FlexRate4
100010,1,1,Mrs.,Cooper,I,Ruiz,Sr.,Co Inc,Ap #996-1384 Robert Street,118-6515 Printing St.,"P.O. Box 356, 5927 Dynamics St.",Harlow,OR,21966,663,1/29/1944,9/15/2012,,Mason.Joseph@Jr.ca,104800296,email,49328,Peat Marwick,41,7/12/1996,65,Low Income Depositor,Cerberus,Beach,Main St.,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,
100011,1,1,Mr.,Dorian,Q,Henson,II,A Iii,"P.O. Box 621, 8414 Co St.",Ap #496-9319 Dvm Rd.,4385 Inc Rd.,Pawtucket,AK,75418,7669,7/20/2001,12/2/2011,,R.Esq@F.co.uk,104856533,email,215976,Inc Evenings,14,6/12/1973,12,Upscale,E,Sell,Main St.,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,
100012,1,1,Mr.,Scott,P,Perkins,II,Dorfman Abrams,418-7049 Esq St.,841-7569 D Rd.,Ap #462-7675 J St.,Horsham,OH,14446,372,4/6/2004,2/26/2012,,Esq.Urso@JrReaganThomas.org,104912770,email,149135,Of Pa,15,12/21/2007,99,Middle Income Depositor,Photo/graphics,Builders,Main St.,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,
100013,1,1,Ms.,Ryder,L,Peterson,,Livingston City,619-547 Vets Street,925-3456 Home Street,Ap #981-4671 Meijer Rd.,Chesapeake,WV,70883,6261,2/4/2019,3/3/2013,,Of@ComfortInnWilshire.co.uk,104969007,email,43406,Co Scisci,12,8/1/2010,33,Low Income Depositor,Wegner,Agency,Main St.,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,
100014,1,1,Mr.,Dean,Z,Mccray,Jr.,Inc Signature,5321 Stock Avenue,7796 Inc Street,539-9840 Star Ave,Baltasound,WI,26118,1682,8/11/1995,4/19/2013,,Benson.John@ServiceTeamstersUnion.org,105025244,email,68758,Nakamura Oyama,41,11/2/2006,27,Middle Income Depositor,Rpr,Brennan,Main St.,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,
100015,1,1,,Wallace,A,Lamb,II,Samuel I,3762 & Rd.,"P.O. Box 839, 2052 James Av.",Ap #908-8597 Port Street,Llangefni,MN,51266,6839,12/16/1997,5/9/2013,,Pa@PavingMaterials.com,105081481,email,207067,Black Ronald,45,5/3/1951,78,Upscale,Playman,Kpff,Main St.,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
100016,1,1,Mr.,Jerome,D,Harmon,Sr.,Office Precision,5175 R Avenue,"P.O. Box 527, 2409 & Rd.",994-8606 Office Rd.,Milnathort,MA,29866,6380,8/10/2022,3/29/2012,,C.Esq.Slant@SupplyInc.ca,105137718,email,129169,Metropolitan Elevator,50,1/22/2005,14,Middle Income Depositor,Corp,Gutmann,Main St.,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,0,0,1,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
100017,1,1,Miss,Acton,V,Whitehead,II,Citizens Savings,"P.O. Box 385, 8942 Satchell St.",Ap #863-8903 Inn Ave,"P.O. Box 324, 4217 Ramada Ave",Alexandria,PA,6225,9875,3/11/1954,6/4/2012,,Center.For@Hospice.com,105193955,email,22825,Esq Security,22,10/2/1956,1,Low Income Depositor,Inc,Inc,Main St.,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,
100018,1,1,Ms.,Melvin,C,Sparks,,Travel Agent,630-7514 Lowe Avenue,6100 Inc Rd.,"P.O. Box 336, 9694 Esq Rd.",Concord,NY,18525,4635,8/30/2006,4/3/2013,,White@EsqReMatthew.edu,105250192,email,222988,Cosgrove Eisenberg,44,12/23/2010,55,Upscale,Cpa,Esq,Main St.,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,
100019,1,1,,Isaiah,W,Kelley,Jr.,Flach Douglas,948-5408 House Ave,"P.O. Box 364, 7262 Founders St.",262-1681 Decker Avenue,Stroud,MS,42404,8819,5/18/1979,12/21/2012,,Savage@IncPrecisionElectric.org,105306429,email,201698,Unltd Fed,50,1/8/1969,42,Upscale,Paint,Co,Main St.,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,
100020,1,1,,Abel,O,Farmer,,James R,504-4758 Amer Road,4044 White Avenue,Ap #210-3323 J Avenue,Margate,FL,63685,4175,7/19/2005,11/2/2011,,T@AEsqCatholic.net,105362666,email,227769,Buy &,10,7/23/1982,60,Upscale,Phillip,Foods,Main St.,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,
100021,1,1,Miss,Moses,W,Stuart,Sr.,Walls Robert,"P.O. Box 119, 3131 Bashlin Street",1637 Hirt Road,Ap #209-8540 Esq Rd.,Margate,AK,60328,9107,8/10/2010,11/20/2012,,Insight.Cablevision@Prop.com,105418903,email,135035,Distributors Cowley,9,8/9/1960,44,Middle Income Depositor,Tec,All,Main St.,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
100022,1,1,Miss,Evan,P,Perry,Jr.,Manufacturing Transit,Ap #149-5976 Brush St.,843-5316 Interwest Ave,421-9740 G St.,Cumnock,DE,49964,7860,2/9/2006,8/15/2012,,R.Esq.Roche@Eva.ca,105475140,email,5947,Delaney James,29,2/10/2012,35,Low Income Depositor,Meyer,Industrial,Main St.,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,
100023,1,1,Ms.,Quentin,D,Myers,II,& Crawford,"P.O. Box 530, 7480 Technical Road",597-3053 Co St.,"P.O. Box 319, 451 Inc Street",Kircudbright,NM,52979,1408,7/16/2017,5/23/2012,,Hammerman.Stanley@Pa.com,105531377,email,131921,Hislop Lorna,12,2/9/1979,95,Middle Market,By,Asher,Main St.,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,
100024,1,1,Mrs.,Brent,S,Howard,Jr.,Stephen C,6366 C Rd.,Ap #289-7203 Storage Avenue,Ap #738-4564 Elwood Rd.,Ellesmere Port,RI,47979,3944,10/30/2002,8/12/2011,,Inc@EquipmentCoKingston.net,105587614,email,182249,Allen Industrial,28,11/21/1974,14,Upscale,Cupkovic,Safety,Main St.,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,
100025,1,1,,Byron,H,Ramirez,,Inc Murtha,947-7521 Gen St.,672-6072 Christiansen Rd.,517-5495 S Ave,Jersey City,IA,60579,7760,9/3/1962,7/11/2013,,Lawrence.R@CrainIndustries.co.uk,105643851,email,193294,& Label,30,1/6/1985,35,Upscale,Inc,C,Main St.,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,
100026,1,1,,Kasper,X,Shaw,III,James A,Ap #756-9226 Municipalities Rd.,Ap #115-2112 Music St.,258-9237 Sean Rd.,Vaughan,MI,30813,7641,3/24/1935,10/7/2012,,Esq.Catholic@Gifts.com,105700088,email,188949,Enterprises Ltd,40,5/11/1993,60,Upscale,Co,Signature,Main St.,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,
100027,1,1,,Cody,K,Burt,Jr.,Holiday Inn,795-4397 Wilshire Ave,Ap #578-5435 Corp St.,478-1899 Hackett Ave,Vancouver,VA,20121,6721,7/11/1934,4/18/2012,,Jr.Reagan@HolidayInnOf.co.uk,105756325,email,78202,Shop Utility,29,5/14/1971,7,Middle Income Depositor,All,S,Main St.,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
100028,1,1,Miss,Cole,V,William,III,Halpin Irene,"P.O. Box 358, 405 Cook Avenue","P.O. Box 384, 8529 Pettine Rd.","P.O. Box 205, 4449 Crdt Ave",Billings,ID,81287,110,2/11/1998,2/20/2013,,D.Playman.Co@ReedEngineeringInc.ca,105812562,email,204789,Ronald R,11,12/11/1981,18,Upscale,Chiapete,Regan,Main St.,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,
100029,1,1,,Alan,O,Robbins,Sr.,Amgen Thrifty,"P.O. Box 704, 1431 Ehrmann St.",845-9957 Breen St.,204-4243 Lawrence St.,Builth Wells,PA,71105,8399,12/14/1993,5/30/2013,,Esq@Inc.co.uk,105868799,email,112241,Farmer Appraisal,13,4/5/1996,73,Middle Market,20,Cpa,Main St.,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,
100030,1,1,Mrs.,Timothy,Y,Martinez,Jr.,Quick Print,1759 Esq Rd.,207-5957 Nakamura Avenue,Ap #151-7640 & Rd.,Jersey City,SC,55179,7487,10/7/1937,5/16/2012,,Amgen.Thrifty.Sign@EducationalBureauSears.ca,105925036,email,222683,& H,1,5/27/1998,87,Upscale,Optical,Micro,Main St.,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
100031,1,1,Mrs.,Robert,M,Schroeder,III,Stone Container,379-3176 Bureau St.,"P.O. Box 532, 1342 Personal St.","P.O. Box 521, 8108 P St.",Grand Rapids,IA,400,1184,8/5/1981,7/31/2011,,Tile.&.Mrbl@Asher.ca,105981273,email,59512,Mars Ipa,49,8/21/1976,76,Middle Income Depositor,Henson,Yoshida,Main St.,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
100032,1,1,Mr.,Acton,P,Becker,Jr.,Dennis J,819-8804 Inc St.,Ap #561-254 City St.,Ap #988-3512 Shipley St.,Dalkeith,OH,89916,8177,2/8/1985,10/5/2012,,Center@SteindelCarl.org,106037510,email,73683,C Kevin,6,6/26/1964,26,Middle Income Depositor,Beatty,Carl,Main St.,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,
100033,1,1,Mr.,Elijah,Y,Powers,II,Kapetanakis Alexander,Ap #137-8284 F Avenue,Ap #476-331 M Road,"P.O. Box 977, 7018 Associates St.",Rhayader,MS,69378,7461,5/13/1939,10/13/2012,,Co@BerryNaturipeGrowers.org,106093747,email,136099,Hamilton Corp,38,9/1/2002,57,Middle Income Depositor,Hamilton,Travel,Main St.,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,
100034,1,1,Ms.,Jameson,J,Gay,III,Dennis L,360-7121 Channel Avenue,495-2391 Services Av.,416-2900 Heil Avenue,New Galloway,NV,44976,4087,12/2/1966,8/9/2012,,M@Department.net,106149984,email,79951,Beatty Satchell,1,7/22/1964,19,Middle Income Depositor,Bindery,For,Main St.,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,
100035,1,1,Ms.,Kato,S,Wilder,Jr.,Issaquah Cefpi,166-9048 Of Rd.,2009 Patrick Road,Ap #254-1470 Joseph Rd.,Beaumaris,LA,1357,5220,10/23/1944,8/21/2011,,At@BakingCo.net,106206221,email,49241,Sell Press,23,4/24/1998,78,Low Income Depositor,Construction,&,Main St.,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,
100036,1,1,Ms.,Flynn,H,Rodriquez,Jr.,Inn Of,"P.O. Box 260, 3341 Nthrn Av.","P.O. Box 963, 8711 R Ave","P.O. Box 776, 3526 Motel Avenue",Detroit,WA,37651,8139,11/9/2024,7/30/2012,,Port.City@E.net,106262458,email,186010,Resort Hotel,24,12/6/1960,78,Upscale,Paper,Lock,Main St.,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,
100037,1,1,Mr.,Martin,W,Barlow,II,Pros For,"P.O. Box 307, 1273 & Road",710 Heil St.,652-708 Co St.,Maastricht,OK,96845,2614,3/4/1939,10/2/2011,,Albers@Hill.edu,106318695,email,212990,Maslen David,33,2/9/2001,82,Upscale,&,Blvd,Main St.,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,
100038,1,1,Mr.,Brian,E,Meyer,Jr.,Infusion Pharm,"P.O. Box 422, 7103 F St.",7166 Peat Av.,454-2189 Marketing Road,Burin,AK,30691,6991,1/29/1960,12/14/2012,,Hotel.Shipp@SpecCheckInc.edu,106374932,email,154606,James L,2,5/15/1964,44,Upscale,Evenings,Pepsi,Main St.,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,0,1,1,0,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,
100039,1,1,,Erasmus,O,Conner,Jr.,Michael G,721-5087 Uchner Rd.,Ap #670-1169 Doerhoff St.,6642 Dennis Rd.,Haverfordwest,IN,44617,7634,5/12/1986,4/22/2013,,Inn@&.org,106431169,email,203079,Esq Khoury,27,1/13/1988,84,Upscale,Inc,A,Main St.,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,
100040,1,1,Mrs.,Michael,A,Alvarez,Sr.,Us Mortgage,2491 Olds Street,9859 Michael Rd.,8719 Killbride Ave,Neath,SC,85855,6770,8/8/2003,8/9/2012,,Record.One@Systems.org,106487406,email,60359,Heating Nurses,12,10/12/1968,26,Middle Market,Co,Esq,Main St.,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
100041,1,1,Miss,Zachery,J,Mathews,II,Theo &,Ap #464-4584 Jerrold Avenue,7983 Midlen Av.,"P.O. Box 500, 7031 Inc Rd.",Birmingham,WY,34930,6011,5/21/2007,3/17/2012,,Cupkovic.Walter@Cenol.org,106543643,email,174928,Fernando Foods,35,10/4/1997,39,Upscale,Vasquez,Society,Main St.,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,
100042,1,1,,Aladdin,L,Bush,Jr.,Lee Harry,488-8925 Rpr Road,110-7110 Meyer Street,4092 D St.,Charleston,VA,58046,5755,4/2/2000,9/18/2011,,Stat@PersonnelServicesVasquez.org,106599880,email,180849,J Beymers,45,2/27/2012,66,Upscale,A,Music,Main St.,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,0,1,1,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
100043,1,1,,Wayne,J,Howard,Sr.,Shapiro Mark,469-1365 Corp Rd.,1751 House St.,185-878 Brown Avenue,Winchester,IL,44286,8041,6/29/1979,2/2/2012,,Software.Pursuits.Inc@CreationsInc.co.uk,106656117,email,210234,P Esq,20,10/19/1971,55,Upscale,Jacobs,Medlin,Main St.,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
100044,1,1,,Jasper,A,Barrett,Sr.,Pursuits Inc,9615 Inc Street,3269 Organization St.,Ap #602-1471 Cpas Street,Grand Rapids,HI,74763,9726,12/29/1949,5/21/2012,,H@Meridian.co.uk,106712354,email,248757,White &,48,7/15/1980,27,Upscale,Oliver,TRUE,Main St.,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,
100045,1,1,,Harper,I,Shaffer,Jr.,Esq Beach,"P.O. Box 675, 9589 Service Rd.",Ap #172-8919 Finkelstein Rd.,Ap #998-4319 Brumfield Street,Beaumaris,AL,50995,74,1/14/2011,8/13/2012,,Esq.Donut.&@L&.org,106768591,email,78201,Thomas &,20,12/18/1983,57,Middle Income Depositor,Building,Pa,Main St.,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,
